timestamp,小时,星期,是否周末,是否节假日,温度,气象站水平的大气压,平均海平面的大气压,气压趋势,相对湿度,风向,观测前10分钟平均风速,观测前10分钟最大阵风,两次观测之间最大阵风,总云量,当天天气情况,观测期之间过去天气1,观测期之间过去天气2,最低气温,最高气温,层积云，层云，积云和积雨云,云量,最低云层高度,高层云，高积云及积雨云,卷云，卷积云及卷层云,水平能见度,露点温度,降水量,达到规定降水量时间,无雪及冰覆盖的土壤表面状况,夜间土壤表面最低温度,有雪及冰覆盖的土壤表面状况,雪深,宝安供电局_0h,大鹏供电局_0h,福田供电局_0h,光明供电局_0h,龙岗供电局_0h,龙华供电局_0h,罗湖供电局_0h,南山供电局_0h,坪山供电局_0h,深汕特别合作区供电局_0h,盐田供电局_0h,总计_0h,行业名称,全社会用电总计,　A、全行业用电合计,　　第一产业,　　第二产业,　　第三产业,　B、城乡居民生活用电合计,　　城镇居民,　　乡村居民,　全行业用电分类,　　一、农、林、牧、渔业,　　　   1.农业,　　　   2.林业,　　　   3.畜牧业,　　　   4.渔业,　　　   5.农、林、牧、渔专业及辅助性活动,　　　　     其中：排灌,　　二、工业,　　　（一）采矿业,　　　　    1.煤炭开采和洗选业,　　　　    2.石油和天然气开采业,　　　　    3.黑色金属矿采选业,　　　　    4.有色金属矿采选业,　　　　    5.非金属矿采选业,　　　　    6.其他采矿业,　　　（二）制造业,　　　　    1.农副食品加工业,　　　　    2.食品制造业,　　　　    3.酒、饮料及精制茶制造业,　　　　    4.烟草制品业,　　　　    5.纺织业,　　　　    6.纺织服装、服饰业,　　　　    7.皮革、毛皮、羽毛及其制品和制鞋业,　　　　    8.木材加工和木、竹、藤、棕、草制品业,　　　　    9.家具制造业,　　　　    10.造纸和纸制品业,　　　　    11.印刷和记录媒介复制业,　　　　    12.文教、工美、体育和娱乐用品制造业,　　　　　       其中：体育用品制造,　　　　    13.石油、煤炭及其他燃料加工业,　　　　　       其中：煤化工,　　　　    14.化学原料和化学制品制造业,　　　　　       其中：氯碱,　　　　　       电石,　　　　　       黄磷,　　　　　       其中：肥料制造,　　　　    15.医药制造业,　　　　　       其中：中成药生产,　　　　　       生物药品制品制造,　　　　    16.化学纤维制造业,　　　　    17.橡胶和塑料制品业,　　　　　       其中：橡胶制品业,　　　　　       塑料制品业,　　　　    18.非金属矿物制品业,　　　　　       其中：水泥制造,　　　　　       玻璃制造,　　　　　       陶瓷制品制造,　　　　　       其中：碳化硅,　　　　    19.黑色金属冶炼和压延加工业,　　　　　       其中：钢铁,　　　　　       铁合金冶炼,　　　　    20.有色金属冶炼和压延加工业,　　　　　       其中：铝冶炼,　　　　　       铅锌冶炼,　　　　　       稀有稀土金属冶炼,　　　　    21.金属制品业,　　　　　       其中：结构性金属制品制造,　　　　    22.通用设备制造业,　　　　　       其中：风能原动设备制造,　　　　    23.专用设备制造业,　　　　　       其中：医疗仪器设备及器械制造,　　　　    24.汽车制造业,　　　　　       其中：新能源车整车制造,　　　　    25.铁路.船舶.航空航天和其他运输设备制造业,　　　　　       其中：铁路运输设备制造,　　　　　       城市轨道交通设备制造,　　　　　       航空、航天器及设备制造,　　　　    26.电气机械和器材制造业,　　　　　       其中：光伏设备及元器件制造,　　　　    27.计算机、通信和其他电子设备制造业,　　　　　       其中：计算机制造,　　　　　       通信设备制造,　　　　    28.仪器仪表制造业,　　　　    29.其他制造业,　　　　    30.废弃资源综合利用业,　　　　    31.金属制品、机械和设备修理业,　　　（三）电力、热力、燃气及水生产和供应业,　　　　    1.电力、热力生产和供应业,　　　　    2.燃气生产和供应业,　　　　    3.水的生产和供应业,　　三、建筑业,　　　   1.房屋建筑业,　　　   2.土木工程建筑业,　　　   3.建筑安装业,　　　   4.建筑装饰、装修和其他建筑业,　　四、交通运输、仓储和邮政业,　　　   1.铁路运输业,　　　　     其中：电气化铁路,　　　   2.道路运输业,　　　　     其中：城市公共交通运输,　　　   3.水上运输业,　　　　     其中：港口岸电,　　　   4.航空运输业,　　　   5.管道运输业,　　　   6.多式联运和运输代理业,　　　   7.装卸搬运和仓储业,　　　   8.邮政业,　　五、信息传输、软件和信息技术服务业,　　　   1.电信、广播电视和卫星传输服务,　　　   2.互联网和相关服务,　　　　   其中：互联网数据服务,　　　   3.软件和信息技术服务业,　　六、批发和零售业,　　　   其中：充换电服务业,　　七、住宿和餐饮业,　　八、金融业,　　　九、房地产业,　　　十、租赁和商务服务业,　　　　   其中：租赁业,　　　十一、公共服务及管理组织,　　　　   1.科学研究和技术服务业,　　　　　      其中:地质勘查,　　　　　     其中：科技推广和应用服务业,　　　　   2.水利、环境和公共设施管理业,　　　　　     其中：水利管理业,　　　　　     其中：公共照明,　　　　   3.居民服务、修理和其他服务业,　　　　   4.教育、文化、体育和娱乐业,　　　　　     其中：教育,　　　　   5.卫生和社会工作,　　　　   6.公共管理和社会组织、国际组织
2023-01-01 10:00:00,10,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 11:00:00,11,6,1,1,14.5,763.7,769.6,0.4,64,从东北偏北方向吹来的风,2,,6,,小雨（不冻） ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,11.8,,,,2500或更高，或无云。,,,24,7.7,无降水,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 12:00:00,12,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 13:00:00,13,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 14:00:00,14,6,1,1,16.4,761.4,767.2,-2.3,60,从北方吹来的风,3,,6,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,11.8,18.7,,,2500或更高，或无云。,,,20,8.6,无降水,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 15:00:00,15,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 16:00:00,16,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 17:00:00,17,6,1,1,16,761,766.9,-0.4,63,从北方吹来的风,2,,6,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,11.8,16.8,,,2500或更高，或无云。,,,20,8.9,无降水,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 18:00:00,18,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 19:00:00,19,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 20:00:00,20,6,1,1,15.3,762.1,767.9,1.1,69,从北方吹来的风,1,,6,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,11.8,16.7,,,2500或更高，或无云。,,,23,9.6,无降水,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 21:00:00,21,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 22:00:00,22,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 23:00:00,23,6,1,1,16.1,762.8,768.7,0.7,66,从西南偏西方向吹来的风,1,,6,,云量发展情况没有进行观测或无法观测。 ,,,11.8,16.7,,,2500或更高，或无云。,,,26,9.7,无降水,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-02 00:00:00,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-02 01:00:00,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-02 02:00:00,2,0,0,1,16,761.8,767.6,-1,68,从东北方吹来的风,2,,6,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,,16.7,,,2500或更高，或无云。,,,29,10.1,无降水,12,,,,,50098780.28,2944144.04,16245435.0,24478635.51,38083229.43,25517665.81,8952489.25,21255053.585,11301435.75,1572416.55,2458944.39,202908229.595,当前电量(kWh),203187229.595,164217994.812,121631.66,90045482.88,74050880.272,38969234.783,38968931.593,303.19,164217994.812,148654.06,72737.06,7999.42,24433.37,16461.81,27022.4,3383,85777470.11,56090.45,2442,2617.54,0,2446,17489.71,31095.2,78625670.09,366248.95,446965.7,129200.1,11936.3,100957.4,1042587.92,1202103.1,269729.79,1070482.18,1170504.89,954992.55,1281033.99,83224.74,6186.2,0,768820.98,38.47,0,0,9943,949600.61,127137.78,239669.8,116911.45,7045444.69,353467.17,6465925.78,2018220.42,166416.07,452912.07,42009.3,0,144212.64,117566.86,0.78,217836.98,170,0,0,8184171.16,385775.37,2884909.43,0,1790105.51,291668.96,1798757.12,1230354.5,1013385.47,531.6,0,0,10233531.54,27511.6,27898672.55,34833,6920461.76,350975.4,4731479.54,355199.88,70505.65,7095709.57,3897854.35,612471.15,2585384.07,4338518.42,1391965.38,1729870.87,414576.21,565776.67,12909784.18,3336718.36,1588538.6,7843006.65,6989482.07,11540.1,5400,725685.51,1303.54,15395.62,943194.29,32940.11,6645388.44,2817409.35,3115526.24,2092650.19,712452.85,11153379.809,2363094.65,3083646.33,1484723.88,9279646.28,13887005.65,2419809.4,15509777.653,799436.48,6165.4,104718.63,3998744.617,693621.37,1871960.937,2882984.886,3155371.72,2672444.2,2433440.76,2239799.19
2023-01-02 03:00:00,3,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-02 04:00:00,4,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-02 05:00:00,5,0,0,1,14.7,761.6,767.4,-0.2,79,从北方吹来的风,1,,5,,小雨（不冻） ,,,,16.7,,,2500或更高，或无云。,,,21,11.1,0.1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-02 06:00:00,6,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-02 07:00:00,7,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-02 08:00:00,8,0,0,1,15.5,762.8,768.7,1.2,72,从东北偏北方向吹来的风,3,,6,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,,16.7,,,2500或更高，或无云。,,,27,10.4,0.1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-02 09:00:00,9,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-02 10:00:00,10,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
